EventID,NETSTATIONID,LATITUDE,LONGITUDE,MAGNITUDE
2218025,IM.NV06,48.26,-117.13,4.84202918251
3320897,IU.SSPA,42.51,-71.56,6.49035183857
4768129,AZ.TUBB,33.62,-116.47,6.20138048996
4599933,TA.I05D,48.72,-122.71,5.80388597548
3378043,AZ.USGCB,33.62,-116.47,3.76353826274
3321934,BK.HUMO,40.88,-124.08,7.49855828116
4218655,UU.CVRU,40.86,-112.18,5.75662849087
2844129,AZ.PFO,33.62,-116.47,5.75228190938
843259,CI.BAK,34.55,-117.43,5.84438707037
4223014,TA.H04D,48.72,-122.71,5.14835300808
3334467,TA.K04D,48.72,-122.71,6.58764396502
2592787,CI.TIN,37.63,-118.84,5.17509061632
3580118,TA.L04D,48.72,-122.71,5.75565310301
3327016,IU.WCI,34.95,-106.46,6.25078785995
2592787,IU.COR,44.59,-123.30,4.31792214372
1996086,CI.SHO,34.55,-117.43,7.98955626299
4768129,II.PFO,33.61,-116.46,5.73739015695
3580118,IU.COR,44.59,-123.30,5.46480539599
4368968,TA.L04D,48.72,-122.71,6.9945221814
3334411,AZ.SND,33.62,-116.47,6.45731799968
4218655,UU.NPI,40.86,-112.18,6.35375878735
3320897,PO.TYNO,43.61,-80.06,5.15945689708
1684371,CI.GSC,34.55,-117.43,5.55535458652
4417721,UU.ICF,40.86,-112.18,7.93408366328
628690,CI.SBC,34.55,-117.43,2.12344470177
2340117,TA.M04C,32.77,-113.77,5.60600741547
4768129,CI.PASC,34.55,-117.43,nan
4482428,IM.NV07,48.26,-117.13,5.44932449178
2160222,IM.NV10,48.26,-117.13,3.76264974449
3323713,CI.VES,36.44,-118.08,7.42749063141
4218655,UU.SPS,40.86,-112.18,7.93261829576
2874984,EM.MBB04,41.61,-123.40,2.16102553412
2729575,TA.Y22D,32.89,-117.11,7.73067445709
843259,AZ.WMC,33.62,-116.47,5.16234518339
2004466,IM.NV04,38.43,-118.30,5.76186849764
2844129,IM.NV02,48.26,-117.13,5.92173358326
3334411,TA.I03D,32.89,-117.11,8.19454993734
4417721,CI.Q0031,34.55,-117.43,7.70805137562
1996086,IM.NV01,48.26,-117.13,7.23112988619
4482428,TA.J01E,48.72,-122.71,7.22660973603
4218655,US.AHID,42.77,-111.10,6.25143301238
4768129,CI.Q0040,34.55,-117.43,6.40092178145
4417721,UU.CFS,40.86,-112.18,8.19460769221
3378043,AZ.TRO,33.62,-116.47,3.91274550891
3327016,US.SDCO,34.88,-101.68,4.92541088185
3334007,TA.M04C,48.72,-122.71,4.81723888375
3320897,PO.BASO,43.61,-80.06,5.09750806815
4768129,UU.BRP1,40.86,-112.18,9.98856674832
2853838,EM.MBB02,49.67,-114.20,5.07187172404
3320897,IU.SSPA,42.51,-71.56,6.49035183857
3323713,BK.HUMO,40.88,-124.08,4.76824433109
350828,CI.GSC,34.55,-117.43,4.58716171105
3320897,US.TZTN,42.30,-83.66,5.82259208523
3378043,CI.MPM,34.55,-117.43,4.24529174896
4768129,CI.Q0026,34.55,-117.43,6.32529561957
3334411,AZ.RDM,33.62,-116.47,6.16766589632
1996086,IU.COR,44.59,-123.30,6.25647375545
3320897,US.LRAL,42.30,-83.66,6.12434310195
3334411,CI.TIN,34.55,-117.43,7.27662862527
4768129,TA.J01E,32.89,-117.11,7.33330004015
2844129,CI.DGR,34.55,-117.43,6.31296569328
4768129,IM.NV03,33.61,-116.46,5.72925582869
3320897,PO.ALFO,43.61,-80.06,4.60927068888
4482428,BK.MCCM,40.88,-124.08,3.89257899134
3580118,TA.H04D,48.72,-122.71,5.67077744256
4218655,UU.WRP,40.86,-112.18,8.27238040164
2842975,IM.NV05,48.26,-117.13,6.56612873376
3321934,UO.BUCK,44.20,-122.99,5.33595221578
3323713,US.HLID,40.43,-117.22,6.04809075559
329307,CI.SVD,34.55,-117.43,6.341155914
3323713,TA.C06D,48.72,-122.71,6.1584829947
4723373,UU.DCU,40.86,-112.18,9.09922502609
4219823,IM.NV02,33.61,-116.46,3.14788098137
2850747,IM.NV02,33.61,-116.46,1.88449970176
4819913,UU.BHU,40.86,-112.18,7.11305946981
2866352,AZ.RDM,33.62,-116.47,4.16079936447
2410538,IU.RSSD,34.95,-106.46,2.78275679104
4309440,AZ.USGCB,33.62,-116.47,5.20373420567
4219823,AZ.CRY,33.62,-116.47,3.79105582902
4810688,UU.COY,40.45,-111.78,8.66147381952
3331920,CI.BFS,34.55,-117.43,4.63681481324
4808150,TA.121A,32.89,-117.11,5.01871580884
3282422,TA.N23A,48.72,-122.71,6.85399043906
4220042,CI.SWS,34.55,-117.43,3.07139559486
4808151,CI.CWC,34.55,-117.43,5.85986459281
2677852,CI.MUR,34.55,-117.43,4.67131455656
4808249,UU.CVRU,40.40,-111.79,6.4585963794
4489137,CI.FUR,34.55,-117.43,5.4644893349
3329517,TA.X43A,27.06,-98.68,7.56766765776
4309440,UU.MID,40.86,-112.18,5.82491382383
3278503,IU.WVT,38.06,-91.24,3.49254368396
3378043,IM.NV11,33.61,-116.46,2.79465910955
